Word		Frequency
picture,	|	1
says:	|	1
"since	|	1
1888	|	1
boys	|	1
splendid,	|	1
young	|	1
men."	|	1
strictly	|	1
birds.	|	1
than	|	1
splendid	|	1
maybe	|	1
guys.	|	1
many.	|	1
saturday	|	1
hall.	|	1
deal	|	1
year,	|	1
commit	|	1
suicide	|	1
win.	|	1
three	|	1
o'clock	|	1
afternoon	|	1
cannon	|	1
revolutionary	|	1
war	|	1
field	|	1
teams	|	1
bashing	|	1
each	|	1
couldn't	|	1
grandstand	|	1
hot,	|	1
yelling,	|	1
deep	|	1
except	|	1
scrawny	|	1
faggy	|	1
visiting	|	1
brought	|	1
people	|	1
games.	|	1
seniors	|	1
allowed	|	1
bring	|	1
terrible	|	1
school,	|	1
matter	|	1
looked	|	1
somewhere	|	1
least	|	1
while,	|	1
scratching	|	1
arms	|	1
blowing	|	1
noses	|	1
giggling	|	1
something.	|	1
selma	|	1
thurmer--she	|	1
headmaster's	|	1
daughter--showed	|	1
games	|	1
often,	|	1
exactly	|	1
type	|	1
drove	|	1
mad	|	1
desire.	|	1
girl,	|	1
sat	|	1
bus	|	1
agerstown	|	1
struck	|	1
conversation.	|	1
nose	|	1
nails	|	1
bitten	|	1
bleedy-looking	|	1
falsies	|	1
point	|	1
sorry	|	1
her,	|	1
manure	|	1
great	|	1
father	|	1
phony	|	1
slob	|	1
game,	|	1
manager	|	1
deal.	|	1
gone	|	1
morning	|	1
meet	|	1
mcburney	|	1
meet.	|	1
foils	|	1
equipment	|	1
subway.	|	1
fault.	|	1
keep	|	1
map,	|	1
two-thirty	|	1
dinnertime.	|	1
ostracized	|	1
train.	|	1
funny,	|	1
say	|	1
spencer,	|	1
history	|	1
teacher.	|	1
grippe,	|	1
figured	|	1
again	|	1
started.	|	1
note	|	1
wanted	|	1
went	|	1
coming	|	1
forgot	|	1
account	|	1
flunking	|	1
subjects	|	1
myself	|	1
gave	|	1
frequent	|	1
warning	|	1
myself--especially	|	1
midterms,	|	1
conference	|	1
thurmer--but	|	1
ax.	|	1
ax	|	1
has	|	1
good	|	1
rating,	|	1
does.	|	1
december	|	1
all,	|	1
cold	|	1
witch's	|	1
teat,	|	1
stupid	|	1
hill.	|	1
reversible	|	1
somebody'd	|	1
stolen	|	1
camel's-hair	|	1
fur-lined	|	1
pocket	|	1
crooks.	|	1
wealthy	|	1
families,	|	1
expensive	|	1
has--i'm	|	1
kidding.	|	1
cannon,	|	1
looking	|	1
